age,heart_rate,glucose,prior_admission,gender_encoded
-0.018508711197737813,0.08712033602782387,-0.02133316024011357,-0.024869045497890478,-0.004384419092081966
-0.016678644679015014,-0.014232588559171644,0.012595935568113377,-0.014976767684852873,6.706535492620428e-05
-0.007248952971815046,-0.008305288227124707,-0.00804149214789291,-0.009800620883713938,0.0001713542305465732
-0.00986750715861688,-0.008590010951375987,-0.007477086550995291,-0.007405914153168066,0.00011551881415620944
-0.014739506241816153,-0.02116549549762613,0.0038551540813236106,-0.0013237100333629889,0.00014855769148169545
-0.011505524461024184,-0.008189470237672289,-0.0064473155215917,-0.007212084876820118,0.00012939509710827924
0.05671732671256294,-0.025875769242470516,-0.023761867860074358,-0.02383906921353559,0.0035343796035177447
0.17785788150161813,0.17257451864489834,0.05469841994770486,0.10706283626756594,0.0445813436382124
-0.00759544495552311,-0.009209047256583822,-0.009217417538575398,-0.007180780424712489,-2.2309824605188913e-05
-0.011529443212864655,-0.010483770576464635,-0.007284712142575045,-0.00400324057772683,7.616650963116897e-05
-0.011182210820570106,-0.008758393599265248,-0.00631925419549651,-0.006936521133968812,-2.862025069932334e-05
0.003350886597703029,-0.020426343150057362,-0.010262614051353187,-0.00570118775256628,-0.00018574164372617621
-0.009835427177620652,-0.008956822829947959,-0.007297510545449465,-0.007181545636791177,4.630618980925015e-05
